Elapsed_Time, System_Time, Euler_Roll, Euler_Pitch, Euler_Yaw, Gyro_Roll, Gyro_Pitch, Gyro_Yaw, Accel_x, Accel_y, Accel_z
0.02, 11:55:05.558,0,0,0,0,0,0,0,0,0,
0.04, 11:55:06.348,0,0,0,0,0,0,0,0,0,
0.3733333, 11:55:10.773,0,0,0,0,0,0,0,0,0,
0.6324472, 11:55:11.028,0,0,0,0,0,0,0,0,0,
0.6996138, 11:55:11.078,0,0,0,0,0,0,0,0,0,
0.748953, 11:55:11.128,0,0,0,0,0,0,0,0,0,
0.9409514, 11:55:11.328,0,0,0,0,0,0,0,0,0,
0.999453, 11:55:11.378,0,0,0,0,0,0,0,0,0,
1.091123, 11:55:11.473,0,0,0,0,0,0,0,0,0,
1.142078, 11:55:11.521,0,0,0,0,0,0,0,0,0,
1.186744, 11:55:11.565,0,0,0,0,0,0,0,0,0,
1.214424, 11:55:11.591,0,0,0,0,0,0,0,0,0,
1.243936, 11:55:11.622,0,0,0,0,0,0,0,0,0,
1.283336, 11:55:11.662,0,0,0,0,0,0,0,0,0,
1.323776, 11:55:11.702,0,0,0,0,0,0,0,0,0,
1.352755, 11:55:11.730,0,0,0,0,0,0,0,0,0,
1.389535, 11:55:11.767,0,0,0,0,0,0,0,0,0,
1.422402, 11:55:11.800,0,0,0,0,0,0,0,0,0,
1.473686, 11:55:11.852,0,0,0,0,0,0,0,0,0,
1.505112, 11:55:11.883,0,0,0,0,0,0,0,0,0,
1.53664, 11:55:11.914,0,0,0,0,0,0,0,0,0,
1.564382, 11:55:11.943,0,0,0,0,0,0,0,0,0,
1.602678, 11:55:11.981,0,0,0,0,0,0,0,0,0,
1.650178, 11:55:12.029,0,0,0,0,0,0,0,0,0,
1.701756, 11:55:12.082,0,0,0,0,0,0,0,0,0,
1.875285, 11:55:12.259,0,0,0,0,0,0,0,0,0,
1.924324, 11:55:12.304,0,0,0,0,0,0,0,0,0,
1.956036, 11:55:12.490,0,0,0,0,0,0,0,0,0,
2.141686, 11:55:12.528,0,0,0,0,0,0,0,0,0,
2.475019, 11:55:12.997,0,0,0,0,0,0,0,0,0,
2.793786, 11:55:13.316,0,0,0,0,0,0,0,0,0,
2.883776, 11:55:13.395,0,0,0,0,0,0,0,0,0,
2.920542, 11:55:13.428,0,0,0,0,0,0,0,0,0,
2.952451, 11:55:13.459,0,0,0,0,0,0,0,0,0,
2.992447, 11:55:13.500,0,0,0,0,0,0,0,0,0,
3.022652, 11:55:13.531,0,0,0,0,0,0,0,0,0,
3.054645, 11:55:13.561,0,0,0,0,0,0,0,0,0,
3.081803, 11:55:13.590,0,0,0,0,0,0,0,0,0,
3.11141, 11:55:13.619,0,0,0,0,0,0,0,0,0,
3.150537, 11:55:13.658,0,0,0,0,0,0,0,0,0,
3.18162, 11:55:13.689,0,0,0,0,0,0,0,0,0,
3.210239, 11:55:13.717,0,0,0,0,0,0,0,0,0,
3.256442, 11:55:13.764,0,0,0,0,0,0,0,0,0,
3.2877, 11:55:13.795,0,0,0,0,0,0,0,0,0,
3.328553, 11:55:13.836,0,0,0,0,0,0,0,0,0,
3.359457, 11:55:13.866,0,0,0,0,0,0,0,0,0,
3.393459, 11:55:13.901,0,0,0,0,0,0,0,0,0,
3.459724, 11:55:13.969,0,0,0,0,0,0,0,0,0,
3.503761, 11:55:14.013,0,0,0,0,0,0,0,0,0,
3.536956, 11:55:14.045,0,0,0,0,0,0,0,0,0,
3.566164, 11:55:14.073,0,0,0,0,0,0,0,0,0,
3.595865, 11:55:14.103,0,0,0,0,0,0,0,0,0,
3.624113, 11:55:14.132,0,0,0,0,0,0,0,0,0,
3.667478, 11:55:14.175,0,0,0,0,0,0,0,0,0,
3.700539, 11:55:14.208,0,0,0,0,0,0,0,0,0,
3.729782, 11:55:14.236,0,0,0,0,0,0,0,0,0,
3.760896, 11:55:14.270,0,0,0,0,0,0,0,0,0,
3.79829, 11:55:14.307,0,0,0,0,0,0,0,0,0,
3.854835, 11:55:14.364,0,0,0,0,0,0,0,0,0,
3.891622, 11:55:14.400,0,0,0,0,0,0,0,0,0,
3.92586, 11:55:14.434,0,0,0,0,0,0,0,0,0,
3.95895, 11:55:14.465,0,0,0,0,0,0,0,0,0,
3.999437, 11:55:14.512,0,0,0,0,0,0,0,0,0,
4.037038, 11:55:14.544,0,0,0,0,0,0,0,0,0,
4.067288, 11:55:14.575,0,0,0,0,0,0,0,0,0,
4.096327, 11:55:14.604,0,0,0,0,0,0,0,0,0,
4.126585, 11:55:14.634,0,0,0,0,0,0,0,0,0,
4.167542, 11:55:14.675,0,0,0,0,0,0,0,0,0,
4.199179, 11:55:14.707,0,0,0,0,0,0,0,0,0,
4.229329, 11:55:14.737,0,0,0,0,0,0,0,0,0,
4.258989, 11:55:14.765,0,0,0,0,0,0,0,0,0,
4.288586, 11:55:14.796,0,0,0,0,0,0,0,0,0,
4.331033, 11:55:14.840,0,0,0,0,0,0,0,0,0,
4.364446, 11:55:14.872,0,0,0,0,0,0,0,0,0,
4.599442, 11:55:15.117,0,0,0,0,0,0,0,0,0,
4.653358, 11:55:15.163,0,0,0,0,0,0,0,0,0,
4.723373, 11:55:15.234,0,0,0,0,0,0,0,0,0,
4.757137, 11:55:15.265,0,0,0,0,0,0,0,0,0,
4.798562, 11:55:15.306,0,0,0,0,0,0,0,0,0,
4.836285, 11:55:15.344,0,0,0,0,0,0,0,0,0,
4.87063, 11:55:15.379,0,0,0,0,0,0,0,0,0,
4.900613, 11:55:15.408,0,0,0,0,0,0,0,0,0,
4.934899, 11:55:15.443,0,0,0,0,0,0,0,0,0,
4.987044, 11:55:15.497,0,0,0,0,0,0,0,0,0,
5.027594, 11:55:15.536,0,0,0,0,0,0,0,0,0,
5.058452, 11:55:15.565,0,0,0,0,0,0,0,0,0,
5.090284, 11:55:15.598,0,0,0,0,0,0,0,0,0,
5.132246, 11:55:15.641,0,0,0,0,0,0,0,0,0,
5.196766, 11:55:15.705,0,0,0,0,0,0,0,0,0,
5.227367, 11:55:15.735,0,0,0,0,0,0,0,0,0,
5.257705, 11:55:15.764,0,0,0,0,0,0,0,0,0,
5.297722, 11:55:15.805,0,0,0,0,0,0,0,0,0,
5.331742, 11:55:15.839,0,0,0,0,0,0,0,0,0,
5.36134, 11:55:15.869,0,0,0,0,0,0,0,0,0,
5.391569, 11:55:15.897,0,0,0,0,0,0,0,0,0,
5.421045, 11:55:15.928,0,0,0,0,0,0,0,0,0,
5.468404, 11:55:15.976,0,0,0,0,0,0,0,0,0,
5.502748, 11:55:16.010,0,0,0,0,0,0,0,0,0,
5.53502, 11:55:16.041,0,0,0,0,0,0,0,0,0,
5.563318, 11:55:16.071,0,0,0,0,0,0,0,0,0,
5.592834, 11:55:16.100,0,0,0,0,0,0,0,0,0,
5.633045, 11:55:16.141,0,0,0,0,0,0,0,0,0,
5.664036, 11:55:16.173,0,0,0,0,0,0,0,0,0,
5.69279, 11:55:16.214,0,0,0,0,0,0,0,0,0,
5.736578, 11:55:16.244,0,0,0,0,0,0,0,0,0,
5.768219, 11:55:16.276,0,0,0,0,0,0,0,0,0,
5.809711, 11:55:16.317,0,0,0,0,0,0,0,0,0,
5.842191, 11:55:16.349,0,0,0,0,0,0,0,0,0,
